HSN Code,HSN Description
1,Live Animals; Animal Products
101,"LIVE HORSES, ASSES, MULES AND HINNIES - Horses:"
1011010,"LIVE HORSES, ASSES, MULES AND HINNIES PURE-BRED BREEDING ANIMALS HORSES"
1011020,"LIVE HORSES, ASSES, MULESANDHINNIES PURE-BRED BREEDING ANIMALS ASSES"
1011090,"LIVE HORSES, ASSES, MULES AND HINNIES PURE-BRED BREEDING ANIMAL S OTHER"
10121,Horses
1012100,Pure-bred bredding animals
10129,other
1012910,Horses for polo
1012990,other
10130,Asses
1013010,Pure-bred breeding animals
1013020,livestock
1013090,other
10190,Other
1019010,"LIVE HORSES, ASSES, MULES AND HINNIES - OTHER - HORSES FOR POLO"
1019020,"LIVE HORSES, ASSES, MULES AND HINNIES - OTHER - ASSES, MULES AND HINNIES AS LIVE STOCK"
1019030,Mules and hinnies as livestock
1019090,"LIVE HORSES, ASSES, MULES AND HINNIES - OTHER - OTHER"
102,LIVE BOVINE ANIMALS - Cattle:
1021010,LIVE BOVINE ANIMALS - BULLS - PURE-BRED BREEDING ANIMALS : ADULT
1021020,"LIVE BOVINE ANIMALS - BULLS - PURE-BRED BREEDING ANIMALS COWS, ADULT"
1021030,"LIVE BOVINE ANIMALS- BULLS - PURE-BRED BREEDING ANIMALS BUFFALOES, ADULT AND CALVES"
1021090,LIVE BOVINE ANIMALS - BULLS - PURE-BRED BREEDING ANIMALS OTHER
10221,Pure-bred breeding animals
1022110,Bulls
1022120,Cows
10229,Other
1022910,Bulls
1022990,Other including calves
10231,LIVE ANIMALS~Live bovine animals.~Pure-bred breeding animals
1023100,Pure-bred breeding animals
10239,LIVE ANIMALS~Live bovine animals.~Other
1023900,Others
10290,Other
1029010,LIVE BOVINE ANIMALS - OTHER - BULLS - ADULT
1029020,"LIVE BOVINE ANIMALS - OTHER - BUFFALOES, ADULT AND CALVES"
1029090,LIVE BOVINE ANIMALS - OTHER - OTHER
103,LIVE SWINE
10310,LIVE ANIMALS~Live swine.~Pure-bred breeding animals
1031000,LIVE SWINE PURE-BRED BREEDING ANIMALS
10391,LIVE ANIMALS~Live swine.~Weighing less than 50Kg
1039100,LIVE SWINE - OTHER - WEIGHING LESS THAN 50 KG.
10392,LIVE ANIMALS~Live swine.~Weighing 50Kg or more
1039200,LIVE SWINE- OTHER  WEIGHING 50KG. OR MORE
104,LIVE SHEEP AND GOATS
10410,Sheep
1041010,LIVE SHEEP AND GOATS - SHEEP : SHEEP INCLUDING LAMB FOR BREEDING PURPOSE
1041090,LIVE SHEEP A ND GOATS SHEEP OTHER
10420,LIVE ANIMALS~Live sheep and goats.~Goats
1042000,LIVE SHEEP AND GOATS GOATS
105,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS - Weighing not more than 185 g:"
10511,"LIVE ANIMALS~Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.~Fowls of the species Gallus domesticus"
1051100,"SPECIES GALLU SDOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS WEIGHING NOT MORE THAN 185G : FOWLSOFTHESPECIESGALLUSDOMESTICUS"
10512,"LIVE ANIMALS~Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.~Turkeys"
1051200,"SPECIES GALLU SDOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS WEIGHING NOT MORE THAN 185G : TURKEYS"
10513,"LIVE ANIMALS~Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.~Ducks"
1051300,Ducks
10514,"LIVE ANIMALS~Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.~Geese"
1051400,Geese
10515,"LIVE ANIMALS~Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.~Guinea fowls"
1051500,Guinea fowls
1051900,"SPECIES GALLU SDOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS WEIGHING NOT MORE THAN 185G : OTHER"
1059200,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEAFOWLS - OTHER - FOWLS OF THE SPECIES GALLUS DOMESTICUS WEIGHING NOT MORE THAN 2000G"
1059300,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEAFOWLS - OTHER - FOWLS OF THE SPECIES GALLUSDOMESTICUS WEIGHING MORE THAN 2000G,"
10594,"LIVE ANIMALS~Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.~Fowls of the species Gallus domesticus"
1059400,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEAFOWLS - OTHER - FOWLS OF THE SPECIES GALLUS DOMESTICUS"
10599,"LIVE ANIMALS~Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.~Other"
1059900,"SPECIES GALLUSDOMESTICUS, DUCKS, GEESE,TURKEYS AND GUINEA FOWLS - OTHER - OTHER"
106,OTHER LIVE ANIMALS - Mammals:
10611,LIVE ANIMALS~Other live animals.~Primates
1061100,OTHER LIVE ANIMALS MAMMALS : PRIMATES
10612,"LIVE ANIMALS~Other live animals.~Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
1061200,"OTHER LIVE ANIMALS MAMMALS WHALES,DOLPHINS AND PORPOISES (MAMMALS OF THE ORDER CETACEA); MANATEES AND DUGONGS(MAMMALS OF THE ORDER SIRENIA)"
10613,LIVE ANIMALS~Other live animals.~Camels and other camelids (Camelidae)
1061300,Camels and other camelids (Camelidae)
10614,LIVE ANIMALS~Other live animals.~Rabbits and hares
1061400,Rabits and Hares
10619,LIVE ANIMALS~Other live animals.~Other
1061900,OTHER LIVE ANIMALS MAMMALS OTHER
10620,LIVE ANIMALS~Other live animals.~Reptiles(including snakes and turtles)
1062000,OTHER LIVE ANIMALS REPTILES (INCLUDING SNAKES AND TURTLES)
10631,LIVE ANIMALS~Other live animals.~Birds of prey
1063100,OTHER LIVE ANIMALS BIRDS : BIRDS OF PREY
10632,"LIVE ANIMALS~Other live animals.~ psittaciformes ""incl. parrots, parrakeets, macaws and cockatoos"""
1063200,"OTHER LIVE ANIMALS BIRDS PSITTACIFORMES(INCLUDING PARROTS, PARAKEETS,MACAWS AND COCKATOOS)"
10633,LIVE ANIMALS~Other live animals.~Ostriches;emus (Dromaius novaehollandiae)
1063300,Ostriches; emus(Dromaius novaehollandiae)
10639,LIVE ANIMALS~Other live animals.~Other
1063900,OTHER LIVE ANIMALS BIRDS OTHER
10641,Bees
1064110,Pureline stock
1064190,other
10649,Other
1064910,Pureline Stock
1064990,Other
10690,Other
1069000,Other
1069010,"OTHERLIVE ANIMALS- OTHER - BEESANDOTHERINSECTS,NOTELSEWHEREINCLUDEDORSPECIFIED"
1069020,OTHER LIVE ANIMALS - OTHER - PURE LINE STOCK
1069090,OTHER LIVE ANIMALS - OTHER - OTHER
2,Meat and edible meat offal
201,"MEAT OF BOVINE ANIMALS, FRESH AND CHILLED"
20110,"MEAT AND EDIBLE MEAT OFFAL~Meat of bovine animals, fresh or chilled.~Carcases and half-carcases"
2011000,"MEAT OF BOVINE ANIMALS, FRESH AND CHILLED CARCASSES AND HALF CARCASSES"
20120,"MEAT AND EDIBLE MEAT OFFAL~Meat of bovine animals, fresh or chilled.~Other cuts with bone in"
2012000,"MEAT OF BOVINE ANIMALS, FRESH AND CHILLED OTHER CUTS WITH BONE IN"
20130,"MEAT AND EDIBLE MEAT OFFAL~Meat of bovine animals, fresh or chilled.~Boneless"
2013000,"MEAT OF BOVINE ANIMALS, FRESH AND CHILLED  BONELESS"
202,"MEAT OF BOVINE ANIMALS, FROZEN"
20210,"MEAT AND EDIBLE MEAT OFFAL~Meat of bovine animals, frozen.~Carcases and half-carcases"
2021000,"MEAT OF BOVINE ANIMALS, FROZEN CARCASSES AND HALF-CARCASSES"
